Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.64.24-13.89.179.9-57818-443-6,192.168.64.24,57818,13.89.179.9,443,6,10/12/2024 05:00:20 PM,1624301,7,7,2841.0,5199.0,1288.0,0.0,405.8571428571429,469.56768364508383,4532.0,0.0,742.7142857142857,1679.002056211339,4949.821492445058,8.619092151023732,124946.23076923077,196841.4100729967,495557.0,2.0,733086.0,122181.0,188018.54950722284,409389.0,11.0,1624301.0,270716.8333333333,217704.05558686008,501490.0,2.0,0,0,0,0,224,240,4.309546075511866,4.309546075511866,0.0,4532.0,536.0,1163.1920981260391,1353015.8571428568,0,1,0,0,0,0,0,0,1.0,574.2857142857143,405.85714285714283,742.7142857142857,0,0,0,0,0,0,7,2841,7,5199,-1,16384,4,0,0,0,0,0,0,0,0,0,No Label
192.168.64.24-13.89.179.9-57818-443-6,192.168.64.24,57818,13.89.179.9,443,6,10/12/2024 05:00:22 PM,1117,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,21486.123545210387,2685.7654431512983,558.5,586.1915216036479,973.0,144.0,144.0,144.0,0.0,144.0,144.0,0,0,0,0,0,0,0,0,0,64,32,1790.510295434199,895.2551477170995,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,501,1,0,0,0,0,0,0,0,0,0,No Label
192.168.64.24-192.168.64.25-80-56290-6,192.168.64.25,56290,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20341664,6,9,167.0,482.0,115.0,0.0,27.833333333333332,43.17136396578949,482.0,0.0,53.55555555555556,160.66666666666666,31.90496116738532,0.7374028004788595,1452976.0,3276266.497935652,9134753.0,7.0,1.8794038E7,3758807.6,4900677.488863178,9134854.0,332.0,2.0341664E7,2542708.0,4094876.8591674226,9134766.0,7.0,0,0,0,0,192,304,0.2949611201915438,0.4424416802873157,0.0,482.0,40.5625,121.09663840641215,14664.395833333336,0,1,0,0,0,0,0,0,1.0,43.266666666666666,27.833333333333332,53.55555555555556,0,0,0,0,0,0,6,167,9,482,-1,509,5,0,276284.5,390582.4514036697,552468.0,101.0,9121533.0,18695.903294572316,9134753.0,9108313.0,No Label
192.168.64.24-192.168.64.25-80-56318-6,192.168.64.25,56318,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20345544,6,9,172.0,482.0,119.0,0.0,28.666666666666668,44.75116385823576,482.0,0.0,53.55555555555556,160.66666666666666,32.144630785001375,0.7372621739679214,1453253.142857143,3276790.228435228,9134318.0,4.0,1.879173E7,3758346.0,4901916.18031551,9134338.0,211.0,2.0345544E7,2543193.0000000005,4095481.107082432,9134329.0,4.0,0,0,0,0,192,304,0.29490486958716855,0.4423573043807528,0.0,482.0,40.875,121.25338483247934,14702.383333333331,0,1,0,0,0,0,0,0,1.0,43.6,28.666666666666668,53.55555555555556,0,0,0,0,0,0,6,172,9,482,-1,509,5,0,273488.0,386742.15447504557,546956.0,20.0,9122555.0,16635.394134194717,9134318.0,9110792.0,No Label
192.168.64.24-192.168.64.25-80-56378-6,192.168.64.25,56378,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20355906,6,9,177.0,482.0,123.0,0.0,29.500000000000004,46.2849867667692,482.0,0.0,53.55555555555556,160.66666666666666,32.37389679437506,0.7368868769584611,1453993.2857142857,3277004.517494631,9133444.0,4.0,1.878774E7,3757548.0,4902763.601522717,9133469.0,59.0,2.0355906E7,2544488.25,4095407.082214687,9133455.0,6.0,0,0,0,0,192,304,0.2947547507833844,0.44213212617507663,0.0,482.0,41.1875,121.4123655152143,14740.9625,0,1,0,0,0,0,0,0,1.0,43.93333333333333,29.5,53.55555555555556,0,0,0,0,0,0,6,177,9,482,-1,509,5,0,271315.0,383661.99733619695,542605.0,25.0,9122769.0,15096.72977833279,9133444.0,9112094.0,No Label
192.168.64.24-192.168.64.25-80-56466-6,192.168.64.25,56466,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20338283,6,9,168.0,482.0,115.0,0.0,28.0,43.09060222368678,482.0,0.0,53.55555555555556,160.66666666666666,31.95943335039639,0.7375253850091475,1452734.5,3277889.426743555,9134270.0,9.0,1.8775591E7,3755118.2,4906154.418721419,9134291.0,215.0,2.0338283E7,2542285.375,4097417.415499006,9134365.0,13.0,0,0,0,0,192,304,0.295010154003659,0.4425152310054885,0.0,482.0,40.62499999999999,121.08006992619939,14660.383333333331,0,1,0,0,0,0,0,0,1.0,43.333333333333336,28.0,53.55555555555556,0,0,0,0,0,0,6,168,9,482,-1,509,5,0,263591.5,372744.97574145783,527162.0,21.0,9124368.0,14003.542694618387,9134270.0,9114466.0,No Label
192.168.64.24-192.168.64.25-80-56440-6,192.168.64.25,56440,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20350858,6,9,174.0,482.0,120.0,0.0,29.0,45.07327367742441,482.0,0.0,53.55555555555556,160.66666666666666,32.234513159101205,0.73706966065018,1453632.714285714,3277533.7751190164,9133565.0,7.0,1.8776322E7,3755264.4,4905308.3010743875,9133583.0,316.0,2.0350858E7,2543857.25,4096383.9410772226,9133578.0,7.0,0,0,0,0,192,304,0.294827864260072,0.442241796390108,0.0,482.0,41.0,121.27984168855103,14708.800000000001,0,1,0,0,0,0,0,0,1.0,43.733333333333334,29.0,53.55555555555556,0,0,0,0,0,0,6,174,9,482,-1,509,5,0,265396.0,375301.1667554472,530774.0,18.0,9123548.5,14165.470147510106,9133565.0,9113532.0,No Label
192.168.64.24-192.168.64.25-80-56532-6,192.168.64.25,56532,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20337480,6,9,168.0,482.0,115.0,0.0,28.0,43.09060222368678,482.0,0.0,53.55555555555556,160.66666666666666,31.960695228710737,0.7375545052779401,1452677.142857143,3278667.785821502,9136224.0,6.0,1.877108E7,3754216.0,4908325.042423688,9136235.0,224.0,2.033748E7,2542185.0,4098573.9380028965,9136234.0,6.0,0,0,0,0,192,304,0.295021802111176,0.442532703166764,0.0,482.0,40.62499999999999,121.08006992619939,14660.383333333331,0,1,0,0,0,0,0,0,1.0,43.333333333333336,28.0,53.55555555555556,0,0,0,0,0,0,6,168,9,482,-1,509,5,0,259695.0,367248.6347312948,519379.0,11.0,9126005.5,14451.141287109473,9136224.0,9115787.0,No Label
192.168.64.24-192.168.64.25-80-56452-6,192.168.64.25,56452,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20349809,6,9,172.0,482.0,119.0,0.0,28.666666666666668,44.75116385823576,482.0,0.0,53.55555555555556,160.66666666666666,32.137893775808905,0.737107655408461,1453557.785714286,3277722.9717090107,9133750.0,4.0,1.8775286E7,3755057.2,4905748.079548897,9133787.0,178.0,2.0349809E7,2543726.125,4096716.6300247405,9133781.0,16.0,0,0,0,0,192,304,0.2948430621633844,0.44226459324507666,0.0,482.0,40.875,121.25338483247934,14702.383333333331,0,1,0,0,0,0,0,0,1.0,43.6,28.666666666666668,53.55555555555556,0,0,0,0,0,0,6,172,9,482,-1,509,5,0,263984.0,373277.4271476913,527931.0,37.0,9123844.0,14009.19954886788,9133750.0,9113938.0,No Label
192.168.64.24-192.168.64.25-80-56524-6,192.168.64.25,56524,192.168.64.24,80,6,10/12/2024 05:00:50 PM,20347623,6,9,173.0,482.0,120.0,0.0,28.833333333333336,45.15491852131578,482.0,0.0,53.55555555555556,160.66666666666666,32.19049222604527,0.7371868448712658,1453401.6428571427,3278504.8285084423,9135477.0,6.0,1.8771151E7,3754230.2,4907924.171711366,9135531.0,199.0,2.0347623E7,2543452.875,4097977.385156119,9135541.0,6.0,0,0,0,0,192,304,0.2948747379485063,0.4423121069227595,0.0,482.0,40.93750000000001,121.29658898748967,14712.8625,0,1,0,0,0,0,0,0,1.0,43.666666666666664,28.833333333333332,53.55555555555556,0,0,0,0,0,0,6,173,9,482,-1,509,5,0,260189.5,367887.15215470624,520325.0,54.0,9125539.0,14054.454382863818,9135477.0,9115601.0,No Label
