Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.64.24-192.168.64.25-80-35864-6,192.168.64.25,35864,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20816198,5,8,216.0,482.0,175.0,0.0,43.199999999999996,73.98783683822631,482.0,0.0,60.25,170.41273426595797,33.53157959008653,0.6245136599872849,1734683.1666666667,5488351.814692621,1.9130654E7,12.0,1.9813189E7,4953297.25,9457031.61015391,1.9130666E7,272.0,2.0816198E7,2973742.5714285714,7136179.393208896,1.9130674E7,14.0,0,0,0,0,160,272,0.2401975615335711,0.3843160984537138,0.0,482.0,49.85714285714286,132.65099213456986,17596.285714285714,0,1,0,0,0,0,0,0,1.0,53.69230769230769,43.2,60.25,0,0,0,0,0,0,5,216,8,482,-1,508,4,0,682948.0,0.0,682948.0,682948.0,1.9130654E7,0.0,1.9130654E7,1.9130654E7,No Label
192.168.64.24-192.168.64.25-80-35904-6,192.168.64.25,35904,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20813451,5,8,209.0,482.0,166.0,0.0,41.8,69.82621284302908,482.0,0.0,60.25,170.41273426595797,33.199684185001324,0.6245960845224562,1734454.25,5488586.381199031,1.9131357E7,8.0,1.9811228E7,4952807.0,9457773.140236307,1.913137E7,294.0,2.0813451E7,2973350.1428571427,7136594.995327706,1.9131389E7,8.0,0,0,0,0,160,272,0.24022926327786776,0.38436682124458843,0.0,482.0,49.35714285714286,131.98403583117815,17419.785714285714,0,1,0,0,0,0,0,0,1.0,53.15384615384615,41.8,60.25,0,0,0,0,0,0,5,209,8,482,-1,508,4,0,680568.0,0.0,680568.0,680568.0,1.9131357E7,0.0,1.9131357E7,1.9131357E7,No Label
192.168.64.24-192.168.64.25-80-35908-6,192.168.64.25,35908,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20811609,6,9,200.0,482.0,124.0,0.0,33.33333333333333,45.78500482326792,482.0,0.0,53.55555555555556,160.66666666666666,32.77017168638907,0.7207515766801116,1486543.5000000002,5088023.999473526,1.9131721E7,7.0,1.9809112E7,3961822.4,8485269.317134036,1.9131728E7,216.0,2.0811609E7,2601451.125,6690519.23101103,1.9131734E7,73.0,0,0,0,0,192,304,0.28830063067204464,0.43245094600806694,0.0,482.0,42.625,121.21654177545241,14693.449999999999,0,1,0,0,0,0,0,0,1.0,45.46666666666667,33.333333333333336,53.55555555555556,0,0,0,0,0,0,6,200,9,482,-1,509,5,0,678734.0,0.0,678734.0,678734.0,1.9131721E7,0.0,1.9131721E7,1.9131721E7,No Label
192.168.64.24-192.168.64.25-80-35940-6,192.168.64.25,35940,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20803123,5,8,157.0,482.0,115.0,0.0,31.4,47.3212425872356,482.0,0.0,60.25,170.41273426595797,30.716541934593188,0.6249061739432104,1733593.5833333333,5489058.336523098,1.9132242E7,9.0,1.9802058E7,4950514.5,9459742.861866895,1.9132251E7,360.0,2.0803123E7,2971874.714285714,7137553.27250762,1.9132261E7,12.0,0,0,0,0,160,272,0.24034852843969629,0.38455764550351407,0.0,482.0,45.642857142857146,129.21217324341276,16695.785714285714,0,1,0,0,0,0,0,0,1.0,49.15384615384615,31.4,60.25,0,0,0,0,0,0,5,157,8,482,-1,509,4,0,670115.0,0.0,670115.0,670115.0,1.9132242E7,0.0,1.9132242E7,1.9132242E7,No Label
192.168.64.24-192.168.64.25-80-35918-6,192.168.64.25,35918,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20808757,5,8,197.0,482.0,156.0,0.0,39.4,65.56523469034485,482.0,0.0,60.25,170.41273426595797,32.630493017915484,0.6247369797244496,1734063.0833333335,5488816.436558572,1.9131836E7,8.0,1.9806316E7,4951579.0,9458795.750524163,1.9131854E7,739.0,2.0808757E7,2972679.5714285714,7137049.879803976,1.9131856E7,8.0,0,0,0,0,160,272,0.24028345374017296,0.38445352598427673,0.0,482.0,48.49999999999999,131.36838982858032,17257.653846153844,0,1,0,0,0,0,0,0,1.0,52.23076923076923,39.4,60.25,0,0,0,0,0,0,5,197,8,482,-1,508,4,0,675057.0,0.0,675057.0,675057.0,1.9131836E7,0.0,1.9131836E7,1.9131836E7,No Label
192.168.64.24-192.168.64.25-80-35268-6,192.168.64.25,35268,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20820498,5,8,199.0,482.0,156.0,0.0,39.8,65.3811899555216,482.0,0.0,60.25,170.41273426595797,32.70815136122104,0.6243846809043664,1735041.5,5488175.465655669,1.9130338E7,19.0,1.9815303E7,4953825.75,9456507.564455226,1.9130371E7,534.0,2.0820498E7,2974356.857142857,7135870.973658703,1.9130502E7,40.0,0,0,0,0,160,272,0.2401479541939871,0.38423672671037934,0.0,482.0,48.642857142857146,131.32965400844554,17247.47802197802,0,1,0,0,0,0,0,0,1.0,52.38461538461539,39.8,60.25,0,0,0,0,0,0,5,199,8,482,-1,508,4,0,685803.0,0.0,685803.0,685803.0,1.9130338E7,0.0,1.9130338E7,1.9130338E7,No Label
192.168.64.24-192.168.64.25-80-35866-6,192.168.64.25,35866,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20816287,5,8,217.0,482.0,175.0,0.0,43.4,73.90737446290458,482.0,0.0,60.25,170.41273426595797,33.579475532788344,0.6245109898801837,1734690.5833333333,5488467.72727344,1.9131043E7,9.0,1.9812304E7,4953076.0,9457420.364300441,1.9131058E7,247.0,2.0816287E7,2973755.285714286,7136346.557091632,1.9131077E7,9.0,0,0,0,0,160,272,0.24019653456930143,0.3843144553108823,0.0,482.0,49.92857142857143,132.63336642832334,17591.609890109892,0,1,0,0,0,0,0,0,1.0,53.76923076923077,43.4,60.25,0,0,0,0,0,0,5,217,8,482,-1,508,4,0,681819.0,0.0,681819.0,681819.0,1.9131043E7,0.0,1.9131043E7,1.9131043E7,No Label
192.168.64.24-192.168.64.25-80-35964-6,192.168.64.25,35964,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20801717,5,8,199.0,482.0,156.0,0.0,39.8,65.3811899555216,482.0,0.0,60.25,170.41273426595797,32.73768218267752,0.6249484117104371,1733476.4166666665,5489179.6171459565,1.9132553E7,12.0,1.980024E7,4950060.0,9460239.44772742,1.9132592E7,282.0,2.0801717E7,2971673.857142857,7137764.044262378,1.9132569E7,22.0,0,0,0,0,160,272,0.24036477373478352,0.38458363797565365,0.0,482.0,48.642857142857146,131.32965400844554,17247.47802197802,0,1,0,0,0,0,0,0,1.0,52.38461538461539,39.8,60.25,0,0,0,0,0,0,5,199,8,482,-1,508,4,0,668095.0,0.0,668095.0,668095.0,1.9132553E7,0.0,1.9132553E7,1.9132553E7,No Label
192.168.64.24-192.168.64.25-80-35932-6,192.168.64.25,35932,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20805822,5,8,204.0,482.0,162.0,0.0,40.8,68.12268344685198,482.0,0.0,60.25,170.41273426595797,32.97154036980611,0.6248251090488037,1733818.5,5488949.636928966,1.913204E7,13.0,1.9803099E7,4950774.75,9459457.182793362,1.9132064E7,384.0,2.0805822E7,2972260.285714286,7137319.525589344,1.9132053E7,24.0,0,0,0,0,160,272,0.2403173496341553,0.3845077594146485,0.0,482.0,48.99999999999999,131.73282985474222,17353.53846153846,0,1,0,0,0,0,0,0,1.0,52.76923076923077,40.8,60.25,0,0,0,0,0,0,5,204,8,482,-1,508,4,0,671705.0,0.0,671705.0,671705.0,1.913204E7,0.0,1.913204E7,1.913204E7,No Label
192.168.64.24-192.168.64.25-80-35982-6,192.168.64.25,35982,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20799499,5,8,194.0,482.0,152.0,0.0,38.8,63.67652628716488,482.0,0.0,60.25,170.41273426595797,32.50078283135569,0.625015054449148,1733291.5833333333,5489297.341642726,1.9132825E7,13.0,1.9798355E7,4949588.75,9460693.500548374,1.9132853E7,342.0,2.0799499E7,2971357.0,7137993.527349125,1.913284E7,25.0,0,0,0,0,160,272,0.24039040555736463,0.3846246488917834,0.0,482.0,48.28571428571428,131.0985704149178,17186.83516483516,0,1,0,0,0,0,0,0,1.0,52.0,38.8,60.25,0,0,0,0,0,0,5,194,8,482,-1,508,4,0,666109.0,0.0,666109.0,666109.0,1.9132825E7,0.0,1.9132825E7,1.9132825E7,No Label
192.168.64.24-192.168.64.25-80-35980-6,192.168.64.25,35980,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20801024,5,8,204.0,482.0,161.0,0.0,40.8,67.60325435953509,482.0,0.0,60.25,170.41273426595797,32.97914564206069,0.6249692322839491,1733418.6666666665,5489179.143579854,1.9132513E7,9.0,1.9799371E7,4949842.75,9460321.220737604,1.9132525E7,330.0,2.0801024E7,2971574.8571428573,7137784.331841906,1.9132532E7,9.0,0,0,0,0,160,272,0.2403727816476727,0.38459645063627634,0.0,482.0,48.99999999999999,131.65046963017699,17331.846153846152,0,1,0,0,0,0,0,0,1.0,52.76923076923077,40.8,60.25,0,0,0,0,0,0,5,204,8,482,-1,508,4,0,667191.0,0.0,667191.0,667191.0,1.9132513E7,0.0,1.9132513E7,1.9132513E7,No Label
192.168.64.24-192.168.64.25-80-35952-6,192.168.64.25,35952,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20804271,5,8,204.0,482.0,161.0,0.0,40.8,67.60325435953509,482.0,0.0,60.25,170.41273426595797,32.97399846406538,0.6248716910099854,1733689.25,5489070.436448202,1.9132314E7,4.0,1.9801125E7,4950281.25,9459944.908905737,1.9132342E7,238.0,2.0804271E7,2972038.714285714,7137537.432938215,1.9132333E7,4.0,0,0,0,0,160,272,0.24033526577307132,0.3845364252369141,0.0,482.0,48.99999999999999,131.65046963017699,17331.846153846152,0,1,0,0,0,0,0,0,1.0,52.76923076923077,40.8,60.25,0,0,0,0,0,0,5,204,8,482,-1,508,4,0,669239.0,0.0,669239.0,669239.0,1.9132314E7,0.0,1.9132314E7,1.9132314E7,No Label
192.168.64.24-192.168.64.25-80-36010-6,192.168.64.25,36010,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20799516,5,8,211.0,482.0,168.0,0.0,42.2,70.71562769289402,482.0,0.0,60.25,170.41273426595797,33.318082978469306,0.6250145436076493,1733293.0,5489312.412214335,1.9132846E7,6.0,1.9797469E7,4949367.25,9460826.246602932,1.9132852E7,313.0,2.0799516E7,2971359.4285714286,7138013.493308178,1.913286E7,9.0,0,0,0,0,160,272,0.2403902090798651,0.3846243345277842,0.0,482.0,49.50000000000001,132.12101096518123,17455.96153846154,0,1,0,0,0,0,0,0,1.0,53.30769230769231,42.2,60.25,0,0,0,0,0,0,5,211,8,482,-1,508,4,0,664977.0,0.0,664977.0,664977.0,1.9132846E7,0.0,1.9132846E7,1.9132846E7,No Label
192.168.64.24-192.168.64.25-80-36034-6,192.168.64.25,36034,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20797635,5,8,200.0,482.0,157.0,0.0,40.0,65.82552696332935,482.0,0.0,60.25,170.41273426595797,32.792190073534805,0.6250710717829214,1733136.25,5489693.478098293,1.9134046E7,10.0,1.9794609E7,4948652.25,9462081.364390302,1.9134111E7,133.0,2.0797635E7,2971090.714285714,7138609.6040441645,1.9134068E7,10.0,0,0,0,0,160,272,0.24041195068573903,0.3846591210971825,0.0,482.0,48.714285714285715,131.39279254991857,17264.065934065933,0,1,0,0,0,0,0,0,1.0,52.46153846153846,40.0,60.25,0,0,0,0,0,0,5,200,8,482,-1,508,4,0,662441.0,0.0,662441.0,662441.0,1.9134046E7,0.0,1.9134046E7,1.9134046E7,No Label
192.168.64.24-192.168.64.25-80-36056-6,192.168.64.25,36056,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20795179,5,8,210.0,482.0,168.0,0.0,42.0,70.79194869474917,482.0,0.0,60.25,170.41273426595797,33.276943660836004,0.625144895362526,1732931.5833333333,5489739.298042261,1.9134028E7,9.0,1.979371E7,4948427.5,9462382.673123034,1.9134375E7,216.0,2.0795179E7,2970739.857142857,7138755.320214569,1.9134063E7,9.0,0,0,0,0,160,272,0.24044034437020234,0.38470455099232376,0.0,482.0,49.42857142857142,132.1378733838924,17460.417582417584,0,1,0,0,0,0,0,0,1.0,53.23076923076923,42.0,60.25,0,0,0,0,0,0,5,210,8,482,-1,508,4,0,660186.0,0.0,660186.0,660186.0,1.9134028E7,0.0,1.9134028E7,1.9134028E7,No Label
192.168.64.24-192.168.64.25-80-36032-6,192.168.64.25,36032,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20799395,6,9,217.0,482.0,142.0,0.0,36.166666666666664,53.04117897131122,482.0,0.0,53.55555555555556,160.66666666666666,33.60674673470069,0.7211748226330621,1485671.0714285714,5088637.0320892325,1.9133351E7,10.0,1.9797045E7,3959409.0,8487335.377495902,1.9133399E7,191.0,2.0799395E7,2599924.3750000005,6691683.584025109,1.9133382E7,21.0,0,0,0,0,192,304,0.2884699290532249,0.43270489357983727,0.0,482.0,43.6875,122.12055177842372,14913.429166666667,0,1,0,0,0,0,0,0,1.0,46.6,36.166666666666664,53.55555555555556,0,0,0,0,0,0,6,217,9,482,-1,508,5,0,664071.0,0.0,664071.0,664071.0,1.9133351E7,0.0,1.9133351E7,1.9133351E7,No Label
192.168.64.24-192.168.64.25-80-36062-6,192.168.64.25,36062,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20794644,5,8,210.0,482.0,168.0,0.0,42.0,70.82725464113373,482.0,0.0,60.25,170.41273426595797,33.27779980267996,0.6251609789520801,1732887.0,5489930.422653791,1.9134614E7,9.0,1.9792644E7,4948161.0,9462708.770492094,1.9134624E7,306.0,2.0794644E7,2970663.4285714286,7139062.754276055,1.9134711E7,9.0,0,0,0,0,160,272,0.24044653036618466,0.38471444858589543,0.0,482.0,49.42857142857143,132.1436946810405,17461.95604395605,0,1,0,0,0,0,0,0,1.0,53.23076923076923,42.0,60.25,0,0,0,0,0,0,5,210,8,482,-1,508,4,0,658767.0,0.0,658767.0,658767.0,1.9134614E7,0.0,1.9134614E7,1.9134614E7,No Label
192.168.64.24-192.168.64.25-80-36096-6,192.168.64.25,36096,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20793805,5,8,163.0,482.0,120.0,0.0,32.6,49.41963172667316,482.0,0.0,60.25,170.41273426595797,31.018853932697745,0.6251862032946832,1732817.0833333335,5490153.27820552,1.9135279E7,8.0,1.9792288E7,4948072.0,9463194.524496859,1.9135287E7,212.0,2.0793805E7,2970543.5714285714,7139368.096685282,1.9135302E7,16.0,0,0,0,0,160,272,0.24045623203641664,0.3847299712582666,0.0,482.0,46.07142857142858,129.40423503099134,16745.456043956045,0,1,0,0,0,0,0,0,1.0,49.61538461538461,32.6,60.25,0,0,0,0,0,0,5,163,8,482,-1,509,4,0,657447.0,0.0,657447.0,657447.0,1.9135279E7,0.0,1.9135279E7,1.9135279E7,No Label
192.168.64.24-192.168.64.25-80-36124-6,192.168.64.25,36124,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20792599,5,8,217.0,482.0,175.0,0.0,43.4,73.90737446290458,482.0,0.0,60.25,170.41273426595797,33.61773100130484,0.6252224649741959,1732716.5833333333,5490431.0302238725,1.9136119E7,10.0,1.9790729E7,4947682.25,9464065.517607585,1.9136261E7,286.0,2.0792599E7,2970371.285714286,7139795.227745978,1.9136139E7,12.0,0,0,0,0,160,272,0.24047017883622918,0.3847522861379667,0.0,482.0,49.92857142857143,132.63336642832334,17591.609890109892,0,1,0,0,0,0,0,0,1.0,53.76923076923077,43.4,60.25,0,0,0,0,0,0,5,217,8,482,-1,508,4,0,655130.0,0.0,655130.0,655130.0,1.9136119E7,0.0,1.9136119E7,1.9136119E7,No Label
192.168.64.24-192.168.64.25-80-36114-6,192.168.64.25,36114,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20794469,5,8,204.0,482.0,161.0,0.0,40.8,67.60325435953509,482.0,0.0,60.25,170.41273426595797,32.98954159396905,0.6251662401189471,1732872.4166666667,5490333.438375527,1.9135893E7,7.0,1.9791725E7,4947931.25,9463709.738978416,1.9135955E7,329.0,2.0794469E7,2970638.4285714286,7139604.178448058,1.9135917E7,52.0,0,0,0,0,160,272,0.2404485538919027,0.38471768622704433,0.0,482.0,48.99999999999999,131.65046963017699,17331.846153846152,0,1,0,0,0,0,0,0,1.0,52.76923076923077,40.8,60.25,0,0,0,0,0,0,5,204,8,482,-1,508,4,0,656259.0,0.0,656259.0,656259.0,1.9135893E7,0.0,1.9135893E7,1.9135893E7,No Label
192.168.64.24-192.168.64.25-80-36136-6,192.168.64.25,36136,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20792190,5,8,204.0,482.0,162.0,0.0,40.8,68.12268344685198,482.0,0.0,60.25,170.41273426595797,32.99315752693679,0.6252347636299975,1732682.5,5490605.473101264,1.9136652E7,11.0,1.9790292E7,4947573.0,9464396.593919516,1.9136666E7,236.0,2.079219E7,2970312.8571428573,7140075.142495873,1.9136726E7,16.0,0,0,0,0,160,272,0.24047490908846061,0.38475985454153694,0.0,482.0,48.99999999999999,131.73282985474222,17353.53846153846,0,1,0,0,0,0,0,0,1.0,52.76923076923077,40.8,60.25,0,0,0,0,0,0,5,204,8,482,-1,508,4,0,654027.0,0.0,654027.0,654027.0,1.9136652E7,0.0,1.9136652E7,1.9136652E7,No Label
192.168.64.24-192.168.64.25-80-36166-6,192.168.64.25,36166,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20789490,5,8,199.0,482.0,156.0,0.0,39.8,65.3811899555216,482.0,0.0,60.25,170.41273426595797,32.756936317341115,0.6253159649419009,1732457.5,5491005.258274688,1.9137836E7,2.0,1.9787523E7,4946880.75,9465583.897958025,1.9137842E7,2.0,2.078949E7,2969927.142857143,7140688.485743244,1.9137847E7,8.0,0,0,0,0,160,272,0.24050614036226958,0.3848098245796313,0.0,482.0,48.642857142857146,131.32965400844554,17247.47802197802,0,1,0,0,0,0,0,0,1.0,52.38461538461539,39.8,60.25,0,0,0,0,0,0,5,199,8,482,-1,508,4,0,650959.0,0.0,650959.0,650959.0,1.9137836E7,0.0,1.9137836E7,1.9137836E7,No Label
192.168.64.24-192.168.64.25-80-36164-6,192.168.64.25,36164,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20790695,5,8,203.0,482.0,160.0,0.0,40.6,67.15876711197131,482.0,0.0,60.25,170.41273426595797,32.94743153126916,0.6252797224912395,1732557.9166666667,5490919.927931193,1.9137607E7,9.0,1.9789386E7,4947346.5,9465161.320330802,1.9137637E7,307.0,2.0790695E7,2970099.2857142854,7140540.003602476,1.9137632E7,9.0,0,0,0,0,160,272,0.24049220095816903,0.38478752153307044,0.0,482.0,48.92857142857142,131.58528342176723,17314.68681318681,0,1,0,0,0,0,0,0,1.0,52.69230769230769,40.6,60.25,0,0,0,0,0,0,5,203,8,482,-1,508,4,0,652100.0,0.0,652100.0,652100.0,1.9137607E7,0.0,1.9137607E7,1.9137607E7,No Label
192.168.64.24-192.168.64.25-80-36176-6,192.168.64.25,36176,192.168.64.24,80,6,10/12/2024 05:46:28 PM,20788275,5,8,157.0,482.0,115.0,0.0,31.4,47.26838266748715,482.0,0.0,60.25,170.41273426595797,30.738481187111486,0.6253525124138487,1732356.2499999998,5491018.41474171,1.9137816E7,7.0,1.9787184E7,4946796.0,9465610.114406183,1.9137826E7,345.0,2.0788275E7,2969753.5714285714,7140741.296442567,1.9137825E7,19.0,0,0,0,0,160,272,0.2405201970822495,0.38483231533159923,0.0,482.0,45.642857142857146,129.20621986865513,16694.247252747253,0,1,0,0,0,0,0,0,1.0,49.15384615384615,31.4,60.25,0,0,0,0,0,0,5,157,8,482,-1,509,4,0,650072.0,0.0,650072.0,650072.0,1.9137816E7,0.0,1.9137816E7,1.9137816E7,No Label
